Zona Eleitoral;Codigo Município TSE;Municipio;Bairro;Endereco do Local;CEP do Local;Numero do Local;Local de Votacao;Secoes;Eleitores aptos
36;58971;SÃO GONÇALO;BOAÇU;RUA CARLOS GIANELLI S/N;24465000;1015;ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO;30;11455
36;58971;SÃO GONÇALO;BRASILÂNDIA;RUA OSCAR CLARK S/N;24440610;1023;INSTITUTO DE EDUCACAO CLELIA NANCI;38;9427
36;58971;SÃO GONÇALO;MUTUA;RUA RAUL LENGRUBER S/N;24460410;1082;COLEGIO ESTADUAL ISMAEL BRANCO;19;7114
36;58971;SÃO GONÇALO;PORTO DO ROSA;ESTRADA DA CONCEICAO 1111;24461840;1112;ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE;22;7545
36;58971;SÃO GONÇALO;BOAÇU;AV ALFREDO BAHIENSE S/N;24466460;1120;COLEGIO ESTADUAL MONSENHOR BARENCO COELHO;15;5818
36;58971;SÃO GONÇALO;CENTRO;RUA ZEFERINO REIS, 351;24465266;1139;COLÉGIO FORÇA MÁXIMA;10;3009
36;58971;SÃO GONÇALO;PORTO DO ROSA;ESTRADA DA CONCEIÇÃO, 1101;24461390;1147;CENTRO EDUCACIONAL PEREIRA ROCHA;24;8301
36;58971;SÃO GONÇALO;FAZENDA DOS MINEIROS;AVENIDA RIO DA PRATA, 145;24473295;1163;COLÉGIO EDUCANDÁRIO SETE DE SETEMBRO;4;1189
36;58971;SÃO GONÇALO;MUTUAPIRA;RUA CAPITAO MUCIO LEVI 120;24455300;1171;ESCOLA ESTADUAL CRUZEIRO DO SUL;6;2373
36;58971;SÃO GONÇALO;ITAOCA;RUA ANTONIO LEONCIO, 19;24471400;1180;BRIZOLÃO 430 CARLOS MARIGHELLA;7;2379
36;58971;SÃO GONÇALO;MUTUÁ;AV. PRESIDENTE KENNEDY, 635;24445000;1201;CLUBE ESPORTIVO MAUÁ;18;4481
36;58971;SÃO GONÇALO;FAZENDA DOS MINEIROS;ESTRADA DE ITAOCA S/N;24470136;1228;ESCOLA MUNICIPAL CARLOS DRUMMOND DE ANDRADE;12;4473
36;58971;SÃO GONÇALO;NOVA CIDADE;RUA VICENTE DE LIMA CLÉTO, 273;24455001;1236;ESCOLA MUNICIPAL VISCONDE DE SEPETIBA;12;4599
36;58971;SÃO GONÇALO;NOVA CIDADE;RUA VICENTE DE LIMA CLETO 407;24455000;1244;EXTERNATO BASTOS SILVA;8;3067
36;58971;SÃO GONÇALO;MUTUÁ;AV. PRESIDENTE KENNEDY, 635;24445000;1252;CLUBE ESPORTIVO MAUÁ;18;5050
36;58971;SÃO GONÇALO;MUTUA;AV. PAULA LEMOS 298;24461000;1260;COLEGIO SANTA MONICA;28;9842
36;58971;SÃO GONÇALO;NOVA CIDADE;RUA VICENTE DE LIMA CLETO 1021;24455001;1287;EQUIPE MAXIMA DE ENSINO;6;2165
36;58971;SÃO GONÇALO;MUTUA;RUA CUMPLIDO SANTANA 123;24461040;1309;COLEGIO INDEPENDENCIA;13;3613
68;58971;SÃO GONÇALO;PATRONATO;RUA DR. FRANCISCO PORTELA 794;24435000;1180;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO - UERJ;37;12683
68;58971;SÃO GONÇALO;ZE GAROTO;AV. PRESIDENTE KENNEDY, 101;24440490;1325;CLUBE TAMOIO;22;7760
68;58971;SÃO GONÇALO;ZE GAROTO;RUA DR. FRANCISCO PORTELA 2700;24435000;1333;CENTRO EDUCACIONAL MONTEIRO LOBATO;18;5950
68;58971;SÃO GONÇALO;BRASILÂNDIA;RUA MINAS GERAIS S/N;24465280;1368;CIEP PASTOR WALDEMAR ZARRO;25;9753
68;58971;SÃO GONÇALO;PORTO NOVO;RUA CAPITÃO JOÃO MANOEL, S/N;24435550;1406;COLÉGIO ESTADUAL CAPITÃO OSWALDO ORNELLAS;11;3627
68;58971;SÃO GONÇALO;PATRONATO;RUA DR FRANCISCO PORTELA 794;24435000;1520;COLÉGIO ESTADUAL WALTER ORLANDINI;18;6212
68;58971;SÃO GONÇALO;BRASILÂNDIA;RUA MINAS GERAIS, S/N;24465280;1538;COLÉGIO ESTADUAL PADRE MANUEL DA NÓBREGA;15;5764
68;58971;SÃO GONÇALO;GRADIM;RUA VISCONDE DE ITAÚNA, S/N;24431005;1546;ESCOLA ESTADUAL CORONEL FRANCISCO LIMA;7;2501
68;58971;SÃO GONÇALO;PARAISO;RUA DOUTOR FRANCISCO PORTELA, S/N;24435005;1554;CIEP 236 - PROFESSOR DJAIR CABRAL MALHEIROS/REGIONAL METROPOLITANA II;17;3116
68;58971;SÃO GONÇALO;PARAISO;RUA COMANDANTE ARI PARREIRAS, 2.222;24426470;1562;COLÉGIO MV1 DE SÃO GONÇALO;18;5791
68;58971;SÃO GONÇALO;PARAISO;RUA VISCONDE DE ITAÚNA, 2671;24431005;1570;COLÉGIO PARAÍSO;15;5512
68;58971;SÃO GONÇALO;PARAISO;RUA COMANDANTE ARI PARREIRAS,  2.450;24472000;1589;CENTRO EDUCACIONAL AZEVEDO LIMA;16;3608
68;58971;SÃO GONÇALO;PORTO VELHO;RUA COMANDANTE ARI PARREIRAS, 76;24426470;1597;AGÊNCIA DA PREVIDÊNCIA SOCIAL - INSS;6;1758
68;58971;SÃO GONÇALO;PORTO DA MADAMA;RUA DOUTOR GRADIM, S/N;24431150;1600;CENTRO INTERESCOLAR ULYSSES GUIMARÃES;8;2943
68;58971;SÃO GONÇALO;PARAISO;RUA DOUTOR FRANCISCO PORTELA, S/N;24435005;1619;CIEP 237 - JORNALISTA WLADIMIR HERZOG;15;4258
68;58971;SÃO GONÇALO;GRADIM;RUA VISCONDE DE ITAÚNA, S/N;24431005;1627;CIEP 250 - ROSENDO RICA MARCOS;11;4036
69;58971;SÃO GONÇALO;COELHO;RUA CRISTIANO OTONI S/N;24740000;1031;CASA UNIDOS DE PORTUGAL;8;2863
69;58971;SÃO GONÇALO;COELHO;RUA ARMANDO RANCE S/N;24740000;1112;E. E. ADELIA MARTINS;14;5177
69;58971;SÃO GONÇALO;MARIA PAULA;RUA DALVA RAPOSO 215;24754190;1147;E. E. BARAO DE SAO GONCALO;7;2158
69;58971;SÃO GONÇALO;ARSENAL;RUA OLIVIA LOPES S/N;24755030;1155;E. E. DALILA DE OLIVEIRA DA COSTA;11;4283
69;58971;SÃO GONÇALO;RIO DO OURO;RODOVIA AMARAL PEIXOTO KM 6.5;24753560;1171;E. E. DORVAL FERREIRA DA CUNHA;23;8030
69;58971;SÃO GONÇALO;TRIBOBO;RUA EUZEBIO S/N;24750000;1210;E. E. VITAL BRAZIL;13;4960
69;58971;SÃO GONÇALO;RIO DO OURO;AV. EUGENIO BORGES KM 8;24751000;1490;CIEP 126 ALMEDORINA AZEREDO - SAMIR;17;4752
69;58971;SÃO GONÇALO;TRIBOBO;RUA CECILIA CORREA S/N;24751320;1546;E. M. LEDA VARGAS GIANERINNI;9;3120
69;58971;SÃO GONÇALO;ALMERINDA;RUA CRISTIANO OTONI S/N;24740000;1619;CIEP 240 PROF. HAROLDO TEIXEIRA VALADAO;14;4970
69;58971;SÃO GONÇALO;MARIA PAULA;ESTRADA DA PACIENCIA 1445;24756660;1767;COLEGIO PENDOTIBA;6;2314
69;58971;SÃO GONÇALO;ARSENAL;RUA CLODOMIRO ANTUNES DA COSTA S/N;24751360;1813;CIEP 309 ZUZU ANGEL;20;7613
69;58971;SÃO GONÇALO;COELHO;RUA CANDIDO REIS S/N;24740000;1880;CIEP 409 ALAIDE DE FIGUEIREDO SANTOS;20;7021
69;58971;SÃO GONÇALO;JOCKEY CLUB;RUA AURINO DE SÁ LEITÃO, 902;24741310;1929;C. E. ODYSSÉA SILVEIRA DE SIQUEIRA;9;3049
69;58971;SÃO GONÇALO;IPIIBA;ESTRADA DO IPIIBA S/N;24735410;1988;CIEP 414 TARSO DE CASTRO;7;1693
69;58971;SÃO GONÇALO;JOCKEY CLUB;RUA MARIA DO NASCIMENTO S/N;24473150;2003;C. E. DR. HUMBERTO SOEIRO DE CARVALHO;7;2601
69;58971;SÃO GONÇALO;COLUBANDE;RODOVIA AMARAL PEIXOTO KM9 S/N;24753560;2011;C. E. RODOLFO SIQUEIRA;14;4861
69;58971;SÃO GONÇALO;ENGENHO DO ROCADO;RUA EXPED. AMERICO FERNANDES S/N;24750300;2038;E. M. NOSSA SENHORA DA BOA ESPERANCA;6;2226
69;58971;SÃO GONÇALO;ANAIA PEQUENO;ESTRADA DO ANAIA, S/N;24742600;2046;E. E. PROF. FRANCISCO DE PAULA ACHILLES;5;1603
69;58971;SÃO GONÇALO;JOCKEY CLUB;RUA OSCAR GOMES, S/N;24743340;2062;E.M. PASTOR RICARDO PARISE;8;2830
69;58971;SÃO GONÇALO;TRIBOBO;RODOVIA AMARAL PEIXOTO KM 07;24753560;2119;SEST SENAT;7;2269
69;58971;SÃO GONÇALO;MARIA PAULA;RUA EXP. AURÉLIO VIEIRA SAMPAIO, 27;24754510;2160;CENTRO EDUCACIONAL LAZARES;6;1852
87;58971;SÃO GONÇALO;BARRO VERMELHO;RUA HEITOR LEVI 42;24412300;1031;COLEGIO SANTA CATARINA;21;6200
87;58971;SÃO GONÇALO;BARRO VERMELHO;RUA DR PIO BORGES S/N;24412000;1040;COLEGIO ESTADUAL PAULINO PINHEIRO BATISTA;18;6809
87;58971;SÃO GONÇALO;BARRO VERMELHO;RUA DR GETULIO VARGAS 382;24416000;1066;CIEP ADALGISA CABRAL DE FARIAS;19;6543
87;58971;SÃO GONÇALO;LINDO PARQUE;AV. EDSON S/N;24440000;1082;ESCOLA MUNICIPAL AMARAL PEIXOTO;13;4706
87;58971;SÃO GONÇALO;PONTE PARAGUAI;RUA DR PIO BORGES 1287;24412000;1090;ESCOLA ESTADUAL CONEGO GOULART;11;4189
87;58971;SÃO GONÇALO;SANTA CATARINA;TRAVESSA TABELIÃO LESSA S/N;24415000;1112;ESCOLA ESTADUAL MUNICIPALIZADA MONSENHOR ALBUQUERQUE;8;2536
87;58971;SÃO GONÇALO;ENGENHO PEQUENO;RUA MENTOR COUTO S/N;24417000;1120;ESCOLA MUNICIPAL MARIO QUINTANA;13;4726
87;58971;SÃO GONÇALO;ZE GAROTO;RUA CORONEL SERRADO, 1422;24440000;1139;M3 COLÉGIO E CURSO;9;2353
87;58971;SÃO GONÇALO;VENDA DA CRUZ;RUA DR. PORCIUNCULA 215;24411000;1155;ESCOLA MUNICIPAL EVADIR MOLINA;18;5188
87;58971;SÃO GONÇALO;ZE GAROTO;RUA CORONEL SERRADO 1836;24440000;1198;COLEGIO ESTADUAL NILO PECANHA;8;2813
87;58971;SÃO GONÇALO;NOVA ROMA;RODOVIA AMARAL PEIXOTO KM 6,5;24754060;1236;COLEGIO ESTADUAL MARIO TAMBORIDEGUY;7;2216
