Zona Eleitoral;Código Município TSE;Município;Bairro;Endereço do Local;CEP do Local;Número do Local;Local de Votação;Seções;Eleitores aptos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA SÃO CLEMENTE 134;22260000;1058;CASA DE RUI BARBOSA;7;3129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA GENERAL POLIDORO, 36;22290020;1139;COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE;18;5643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA SAO CLEMENTE 226;22260000;1163;COLÉGIO SANTO INÁCIO;21;7534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA SAO CLEMENTE, 388;22260000;1180;ESCOLA ALEMÃ CORCOVADO;16;5215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA DONA MARIANA 148;22280020;1228;ESCOLA JOAQUIM NABUCO;7;2923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA DA MATRIZ 67;22260100;1244;ESCOLA MEXICO;7;3129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA VISCONDE DE CARAVELAS, 48;22271022;1279;ESCOLA OLM/BOTAFOGO;13;5205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;HUMAITA;RUA HUMAITA S/N;22261001;1350;CIEP - HUMAITÁ;15;5326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;HUMAITA;RUA HUMAITA 80;22261001;1384;COLEGIO PEDRO II (PEDRAO);18;7567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;FLAMENGO;RUA MARQUÊS DE ABRANTES, 55;22230060;1465;COLÉGIO METODISTA BENNETT;29;9828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;FLAMENGO;RUA DO PINHEIRO, 10;22210060;1473;INSTITUTO DOS ARQUITETOS DO BRASIL;12;4379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;FLAMENGO;RUA FERNANDO OSORIO, 20;22230040;1481;INSTITUTO NOSSA SENHORA DA PIEDADE;15;5684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA MUNIZ BARRETO 746 / 746-A;22251090;1490;ALIANÇA FRANCESA DE BOTAFOGO;5;2113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA BAMBINA 59;22251050;1503;ESCOLA DINAMIS;5;2357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA ASSUNCAO 257;22251030;1546;ESCOLA MUNICIPAL PRESIDENTE ARTHUR DA COSTA E SILVA;5;2135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;PRAIA DE BOTAFOGO 186;22250040;1554;FUNDACAO GETULIO VARGAS;21;8042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA VISCONDE DE OURO PRETO 36;22250180;1562;INSTITUTO BRASIL ESTADOS UNIDOS;3;1203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;PRAIA DE BOTAFOGO 266;22250040;1570;COLEGIO IMACULADA CONCEICAO;13;4598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;URCA;AVENIDA PASTEUR 429;22290240;1589;ESCOLA BRITÂNICA;5;2082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;URCA;AV. PASTEUR, 296;22290240;1597;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO UNI-RIO;5;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;FLAMENGO;RUA MARQUÊS DE ABRANTES, 99;22230060;1619;CASA DO COMÉRCIO (FECOMÉRCIO/ SENAC RIO/ SESC RIO);15;6279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;FLAMENGO;RUA MARQUÊS DE ABRANTES, 55;22230060;1627;CENTRO UNIVERSITÁRIO UNIVERITAS;20;7005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA FERNANDES GUIMARAES 85;22290000;1660;CASA DA CRIANÇA;9;4125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA GENERAL SEVERIANO, 159;22290040;1678;ESCOLA ELEVA;10;3229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;URCA;AV. PASTEUR, 350;22290240;1686;INSTITUTO BENJAMIN CONSTANT;9;2767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;URCA;PRAÇA GENERAL TIBÚRCIO S/N;22290270;1708;CÍRCULO MILITAR DA PRAIA VERMELHA;6;2398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA DA MATRIZ, 16;22260100;1716;ESCOLA ADVENTISTA BOTAFOGO;5;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;60011;RIO DE JANEIRO;BOTAFOGO;RUA DA PASSAGEM, 104;22290010;1724;ESCOLA MUNICIPAL JOÃO SALDANHA;6;2285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;PRAÇA CARDEAL ARCOVERDE, S/N;22040030;1015;E M SENADOR ALENCASTRO GUIMARÃES -  ANTIGO AF;3;1245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;LEME;AVENIDA PRINCESA ISABEL, 293,;22011011;1040;CURSO WIZARD - PI 293;2;813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
